"site","min","max","temp_diff","ore","azimuth","entrance_height","entrance_width","levels","shafts","1980","1981","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
"Farm Mine Shaft B",Inf,-Inf,-Inf,"Copper","330",NA,NA,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fenwick's Cache",Inf,-Inf,-Inf,"Cave",NA,"3","2.5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Firesteel Mine",-5.5,-4.16666666666667,1.33333333333333,"Copper",NA,"7","6","1",1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flintsteel Adit",5.88888888888889,8,2.11111111111111,"Copper",NA,"6","6","1",0,NA,NA,NA,NA,NA,NA,NA,NA,497,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,98,NA,97,129,198,NA,NA,2,7,NA,NA,NA,NA,NA
"Ford Exploratory Adit",1.5,4,2.5,"Iron","90","7","12","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,8,1,0,1,NA,NA,NA,NA,NA
"Fort Custer Tunnels",Inf,-Inf,-Inf,"Tunnel",NA,NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galena Mine",3,3,0,"Iron","180","6","6","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glen Adit #1",2.5,5.5,3,"Copper","265","5","6","1",0,NA,NA,NA,NA,NA,NA,NA,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,NA,590,280,NA,306,NA,NA,NA,NA,NA,1,1,1,NA,NA
"Glen Adit #2",-1,2,3,"Copper","260","4","6","1",0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glen Adit #3",0,2,2,"Copper","345","5","10","1",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
