"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","date","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips","year","month","day"
"Eagle River Adit 3 (Lake Superior & Phoenix)","Copper","50","330","4","4","1",0,"32","43.1",NA,2006-11-04,"Medium","5","C","5",0,NA,NA,0,"0",2006,11,4
"Eagle River Adit 3 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,"26.6","34.700000000000003","89",2011-12-24,NA,"12","C","12",12,7,5,0,"0",2011,12,24
"Eagle River Adit 3 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,NA,"26.6",NA,2013-03-03,NA,"26","c","26",0,NA,NA,0,"0",2013,3,3
"Eagle River Adit 3 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,NA,"35.6",NA,2015-12-29,NA,"13","c","13",13,13,0,0,"0",2015,12,29
"Eagle River Adit 3 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,"10","27.5",NA,2017-12-28,NA,"0","c","0",0,NA,NA,0,"0",2017,12,28
"East Evergreen Bluff Mine  (2, 4, 6)","Copper",NA,"295",NA,NA,"1",0,NA,"≤33",NA,2002-01-24,"Medium","19","C","5",3,0,3,14,"0",2002,1,24
"East Evergreen 1","Copper","30","285","6","10","1",0,"26.6","32","100",2011-12-23,"Medium","0","C","0",0,NA,NA,0,"0",2011,12,23
"East Evergreen 3","Copper","20","295","6","20","1",NA,"26.6","25.7",NA,2011-12-23,"Medium","0","C","0",0,NA,NA,0,"0",2011,12,23
"East Evergreen 5","Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-23,NA,"0",NA,NA,NA,NA,NA,NA,NA,2011,12,23
"East Evergreen 7","Copper","16","240","6","15","1",NA,"26.6","27.5",NA,2011-12-23,"Medium","0","C","0",0,NA,NA,0,"0",2011,12,23
"Eben Ice Caves","NA","100",NA,NA,NA,NA,NA,NA,"<32",NA,2015-02-28,"High","0","c","0",0,0,0,0,"0",2015,2,28
"Eureka Mine (Norwich area)","Copper","48","245","3","5","1",0,NA,"41.9","88",1998-12-15,"Medium","1","C","0",0,NA,NA,1,"0",1998,12,15
"Eureka Shaft #3","Iron","100","999",NA,NA,"0",1,NA,NA,NA,2005-03-01,"Low","0","C","0",0,NA,NA,0,"0",2005,3,1
"Farm Mine Shaft A","Copper","45","330",NA,NA,"0",1,NA,NA,NA,2002-01-24,"Low","0","C","0",0,NA,NA,0,"0",2002,1,24
"Farm Mine Shaft B","Copper","50","330",NA,NA,"0",1,NA,NA,NA,2002-01-24,"Low","0","C","0",0,NA,NA,0,"0",2002,1,24
"Fenwick's Cache","Cave","5",NA,"3","2.5","1",0,NA,NA,NA,2010-05-15,"High","0","C","0",0,NA,NA,0,"0",2010,5,15
"Firesteel Mine","Copper","150",NA,"7","6","1",1,"18.7","22.1-24.5",NA,1998-01-03,"Medium","0","C","0",0,NA,NA,0,"0",1998,1,3
"Flintsteel Adit","Copper","164",NA,"6","6","1",0,"35.799999999999997","46.4","91",1998-12-16,"Low","500","C","497",26,25,1,0,"3",1998,12,16
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,"42.6","78",2010-03-03,NA,"102","C","98",0,NA,NA,4,"0",2010,3,3
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,"30.2","42.8-43.7","93.1-100",2012-02-24,NA,"109","C","98",25,18,7,10,"1",2012,2,24
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,"44.2",NA,2014-02-23,NA,"103","c","97",89,81,8,6,"0",2014,2,23
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-24,NA,"141","c","129",114,101,13,12,"0",2015,2,24
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-02-22,NA,"213","c","198",135,132,3,15,"0",2016,2,22
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,"42.8-44.6","93.1",2019-02-27,NA,"9",NA,"2",2,2,0,7,"0",2019,2,27
