"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,"23.9","46.4","80.8","40964",NA,NA,NA,"120","C","103",26,11,15,16,"1"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41682",NA,NA,NA,"114","c","101",100,82,18,10,"3"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44148",NA,NA,NA,"10",NA,"8",8,7,1,2,"0"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44259",NA,NA,NA,"24",NA,"6",6,6,0,6,"0"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44510",NA,NA,NA,"10",NA,"8",8,8,0,2,"0"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44626",NA,NA,NA,"21",NA,"4",4,4,0,17,"0"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44876",NA,NA,NA,"6",NA,"4",4,4,0,2,"0"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44988",NA,NA,NA,"33",NA,"3",3,3,0,30,"0"
"Beaver Boardman Adit","?","60",NA,NA,"15","1",0,NA,"40.6",NA,"43794",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"Belt Mine","Copper",NA,NA,NA,NA,NA,NA,NA,"32.9-42.8",NA,"42782",NA,NA,"Medium","1118","c","1083",1041,1039,2,34,"0"
"Belt Mine",NA,NA,NA,NA,NA,NA,NA,"45","40.1-43.3","85.1-89.4","43450",NA,NA,NA,"1118",NA,"1093",899,897,2,25,"0"
"Belt Mine",NA,NA,NA,NA,NA,NA,NA,"28","39.2-40.1","88.7-92.6","43848",NA,NA,NA,"597",NA,"568",556,556,0,27,"2"
"Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44636",NA,NA,"medium",NA,NA,"775",56,56,0,29,"0"
"Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,"45364",NA,NA,NA,"1017","c","972",127,127,0,43,"2"
"Bumblebee Mine","Copper","2500","10","0.5","5","1",0,NA,"47-49",NA,"39445",NA,NA,"Low","5192","C","5189",0,NA,NA,0,"3"
"Bumblebee Mine",NA,NA,NA,NA,NA,NA,NA,NA,"49.2",NA,"42423",NA,NA,NA,"813","c","812",812,812,0,1,"0"
"Caledonia Mine Complex","Copper","2500","90","0","0",NA,NA,"27","41-45",">90","12","16-18",1996,"Medium","54407","C/E","54404",136,132,4,3,"0"
"Caledonia Adit","Copper","50","40","10","15","1",0,"37.5","39.200000000000003","61","40240",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Cave in the Woods","Limestone","25",NA,"5","25","1",0,NA,NA,NA,"40253",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Chatam Mine","Iron","?","NA",NA,NA,"?",1,NA,NA,NA,"38443",NA,NA,"High","0",NA,NA,NA,NA,NA,NA,NA
"Child's Adit","Copper","92","115","2.5","2.5","1",0,"27.5","42.9","100","35427",NA,NA,"40","31","C","31",0,NA,NA,0,"0"
"Child's Adit",NA,NA,NA,NA,NA,NA,NA,"30.2","45.5","100","40901",NA,NA,NA,"132","C","132",29,26,3,0,"0"
