"site","slope","intercept","relative_year","predicted_count","source"
"South Bluff Adit",0.0155642023346304,0,10,0.155642023346304,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,0,-0.00865544664324025,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,1,0.0429813205104494,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,2,0.0946180876641391,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,3,0.146254854817829,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,4,0.197891621971518,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,5,0.249528389125208,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,6,0.301165156278898,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,7,0.352801923432587,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,8,0.404438690586277,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,9,0.456075457739967,"Trend Line"
"South Lake Mine",0.0516367671536897,-0.00865544664324025,10,0.507712224893656,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,0,0.000750750750750747,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,1,0.0345345345345345,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,2,0.0683183183183183,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,3,0.102102102102102,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,4,0.135885885885886,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,5,0.16966966966967,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,6,0.203453453453453,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,7,0.237237237237237,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,8,0.271021021021021,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,9,0.304804804804805,"Trend Line"
"Taylor Adit",0.0337837837837838,0.000750750750750747,10,0.338588588588589,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,0,1.49238792498245,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,1,1.93449002106108,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,2,2.3765921171397,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,3,2.81869421321833,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,4,3.26079630929696,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,5,3.70289840537559,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,6,4.14500050145422,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,7,4.58710259753285,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,8,5.02920469361147,"Trend Line"
